                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1644,                 1.1931,                 1.4149,                0.83706,                0.73017,                  0.827,                0.50924,                 1.3656,                 1.2168,                 1.6295,               0.003466,               0.003466,               0.003466
                     35,                 1.1511,                 1.2107,                 1.4117,                0.80922,                0.72621,                0.82529,                0.51204,                 1.3757,                 1.1821,                  1.646,               0.003268,               0.003268,               0.003268
                     36,                 1.1304,                 1.1766,                 1.3853,                0.87347,                0.73279,                0.81986,                 0.5113,                 1.3345,                   1.17,                 1.5778,                0.00307,                0.00307,                0.00307
                     37,                 1.1177,                 1.1762,                 1.3862,                0.84723,                0.72176,                0.81311,                0.50898,                 1.3684,                 1.2206,                 1.6276,               0.002872,               0.002872,               0.002872
                     38,                 1.1107,                 1.1381,                 1.3802,                0.84312,                0.74249,                0.82877,                0.50778,                 1.3694,                 1.1581,                 1.6164,               0.002674,               0.002674,               0.002674
                     39,                 1.0951,                 1.1108,                 1.3583,                0.80897,                0.77647,                0.82658,                0.50531,                 1.3552,                  1.127,                 1.6091,               0.002476,               0.002476,               0.002476
                     40,                  1.124,                0.98748,                 1.4167,                0.87181,                0.74578,                0.83104,                0.51969,                 1.3237,                 1.1281,                  1.585,               0.002278,               0.002278,               0.002278
                     41,                  1.075,                0.91781,                 1.3882,                0.86789,                 0.7561,                0.84399,                0.53546,                 1.3043,                 1.0683,                 1.5441,                0.00208,                0.00208,                0.00208
                     42,                 1.0471,                0.88981,                 1.3656,                0.86106,                0.75434,                0.83191,                0.53589,                 1.2872,                 1.0941,                  1.549,               0.001882,               0.001882,               0.001882
                     43,                 1.0239,                 0.8634,                 1.3475,                0.88529,                0.73118,                0.84155,                0.54728,                 1.2907,                 1.1261,                 1.5452,               0.001684,               0.001684,               0.001684
                     44,                 1.0245,                0.85052,                 1.3541,                0.81641,                0.78812,                0.83725,                 0.5394,                 1.3042,                 1.0887,                 1.5522,               0.001486,               0.001486,               0.001486
                     45,                0.99781,                0.82019,                 1.3356,                0.83969,                0.77799,                0.85188,                0.54301,                 1.3004,                 1.0646,                 1.5496,               0.001288,               0.001288,               0.001288
                     46,                0.97159,                0.78422,                 1.2946,                0.89636,                0.73732,                0.85153,                0.54428,                 1.2852,                   1.03,                 1.5416,                0.00109,                0.00109,                0.00109
                     47,                0.97838,                0.77963,                 1.3051,                0.88321,                0.74455,                 0.8552,                 0.5553,                 1.2838,                 1.0204,                  1.541,               0.000892,               0.000892,               0.000892
                     48,                0.95882,                0.75519,                 1.2888,                0.88188,                0.76317,                0.84921,                0.54472,                  1.305,                 1.0279,                 1.5507,               0.000694,               0.000694,               0.000694
                     49,                0.93864,                0.74502,                  1.281,                0.89395,                0.76426,                0.85374,                 0.5583,                 1.2849,                 1.0105,                 1.5329,               0.000496,               0.000496,               0.000496
