                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4623,                 3.5112,                 1.6835,                0.28659,                0.25101,                0.18428,                 0.0864,                 1.5865,                 3.3159,                 1.8411,                0.07019,              0.0033122,              0.0033122
                      1,                 1.4799,                 2.7634,                 1.6619,                0.36911,                0.31569,                0.28582,                0.12437,                 1.8662,                 2.9478,                 2.2052,               0.040124,              0.0065798,              0.0065798
                      2,                 1.5773,                 2.5522,                 1.7453,                  0.225,                0.26959,                0.14644,                0.05563,                 2.0519,                 4.0832,                 2.3162,              0.0099923,              0.0097813,              0.0097813
                      3,                 1.6683,                  2.541,                 1.8351,                0.38788,                0.32561,                0.26508,                0.12232,                 2.0039,                 2.9643,                 2.4512,               0.009703,               0.009703,               0.009703
                      4,                 1.6496,                 2.4327,                 1.8138,                0.32951,                0.30684,                0.24593,                0.10533,                 1.9829,                 2.8487,                 2.3637,               0.009703,               0.009703,               0.009703
                      5,                   1.63,                 2.3131,                 1.8055,                0.32959,                0.31159,                0.27518,                0.11926,                 2.0421,                 2.8638,                 2.4786,               0.009604,               0.009604,               0.009604
                      6,                 1.6153,                 2.2193,                 1.7685,                0.46362,                0.34536,                0.33329,                0.15166,                 1.9324,                 2.4879,                 2.2185,               0.009505,               0.009505,               0.009505
                      7,                 1.5736,                 2.1499,                 1.7606,                0.32902,                0.35009,                0.26615,                0.12479,                  1.981,                 2.8044,                 2.3122,               0.009406,               0.009406,               0.009406
                      8,                 1.5453,                 2.0957,                 1.7396,                0.52764,                0.42404,                0.43549,                0.21912,                 1.7834,                 2.1759,                 2.0939,               0.009307,               0.009307,               0.009307
                      9,                 1.5306,                 2.0498,                 1.7269,                0.47752,                 0.4424,                0.44788,                0.22614,                 1.7569,                 2.1129,                 2.0413,               0.009208,               0.009208,               0.009208
                     10,                 1.4962,                 1.9752,                 1.6922,                0.48676,                 0.3568,                0.37779,                 0.1868,                  1.901,                 2.4281,                 2.2558,               0.009109,               0.009109,               0.009109
                     11,                 1.4782,                 1.9326,                 1.6851,                 0.6377,                0.47544,                0.54338,                0.27689,                  1.698,                 1.9286,                 1.9498,                0.00901,                0.00901,                0.00901
