                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4527,                 3.5881,                 1.6537,                0.19081,                0.27711,                0.13535,                0.06687,                 1.6379,                 3.7754,                 1.9182,              0.0033128,              0.0033128,              0.0033128
                      2,                 1.4987,                 2.9624,                 1.6695,                0.28619,                0.25466,                0.17214,                0.07813,                 1.8375,                 3.5624,                 2.1863,              0.0066296,              0.0066296,              0.0066296
                      3,                 1.5871,                 2.7644,                 1.7465,                0.28817,                0.21084,                0.16759,                0.08086,                 2.1182,                 4.5337,                 2.7648,                0.00993,                0.00993,                0.00993
                      4,                 1.7165,                  2.774,                  1.863,                0.27598,                0.26949,                0.15245,                0.06075,                 2.1364,                  3.522,                 2.7706,              0.0099258,              0.0099258,              0.0099258
                      5,                 1.7008,                    2.6,                 1.8554,                0.37697,                0.27447,                0.22016,                0.09162,                 2.1076,                 3.0171,                 2.6018,              0.0099258,              0.0099258,              0.0099258
                      6,                 1.6529,                 2.4755,                 1.8262,                 0.3608,                0.29161,                0.26427,                0.12413,                 1.9766,                 2.7092,                 2.2849,               0.009901,               0.009901,               0.009901
                      7,                 1.6198,                 2.3346,                 1.7929,                0.30553,                0.23335,                0.17121,                0.07416,                 2.2145,                 3.1771,                  2.702,              0.0098763,              0.0098763,              0.0098763
                      8,                 1.6044,                 2.2493,                 1.7996,                0.45461,                0.32556,                0.33896,                0.17025,                 1.8164,                 2.5204,                 2.1018,              0.0098515,              0.0098515,              0.0098515
                      9,                 1.5728,                 2.1983,                 1.7607,                0.48151,                0.37616,                0.37668,                0.17573,                 1.8168,                 2.3676,                 2.1331,              0.0098268,              0.0098268,              0.0098268
                     10,                 1.5492,                 2.1399,                 1.7551,                0.44931,                0.41805,                0.42918,                0.22152,                 1.7289,                 2.3221,                 2.0263,               0.009802,               0.009802,               0.009802
                     11,                  1.539,                 2.0873,                 1.7298,                0.53469,                0.42012,                0.43409,                0.22177,                  1.793,                  2.129,                 2.0764,              0.0097773,              0.0097773,              0.0097773
                     12,                 1.5469,                 2.0745,                 1.7297,                0.56678,                0.47442,                0.48452,                0.25434,                 1.6888,                 2.1954,                 1.9909,              0.0097525,              0.0097525,              0.0097525
                     13,                 1.5076,                 2.0123,                 1.6952,                0.59674,                0.47846,                0.51798,                0.25881,                 1.8067,                 2.0231,                 2.0987,              0.0097278,              0.0097278,              0.0097278
                     14,                 1.4892,                 1.9566,                 1.6765,                0.53031,                0.47238,                0.47819,                0.25118,                 1.6648,                 2.1425,                 1.9412,               0.009703,               0.009703,               0.009703
                     15,                 1.4503,                 1.9374,                  1.663,                0.61395,                0.51076,                0.55241,                0.29347,                 1.7001,                 1.8891,                  1.991,              0.0096783,              0.0096783,              0.0096783
                     16,                  1.451,                 1.8227,                 1.6467,                 0.6171,                0.57553,                0.60304,                0.31516,                 1.6773,                 1.8006,                 1.9575,              0.0096535,              0.0096535,              0.0096535
                     17,                 1.4232,                 1.7972,                 1.6233,                 0.6351,                0.52429,                0.57744,                0.30776,                 1.6157,                 1.8639,                 1.8859,              0.0096288,              0.0096288,              0.0096288
